horse,tooth,repeated,previousdepth,extracted,hexarinse,treatment,improvement,days,truncated
id13,310/11,2,4,0,1,M,0,105,0
id13,407/8,2,4,0,1,M,-2,105,0
id13,408/9,2,0,0,1,None,0,105,1
id13,409/10,2,6,0,1,M,2,105,0
id13,410/11,2,5,0,1,M,1,105,0
id14,306/7,1,4,0,1,CL,4,91,1
id14,307/8,1,8,0,1,M,4,91,0
id14,308/9,1,5,0,1,M,5,91,1
id14,309/10,1,6,0,1,M,1,91,0
id14,310/11,1,4,0,1,CL,0,91,0
id14,406/7,1,4,0,1,CL,4,91,1
id14,407/8,1,6,0,1,M,6,91,1
id14,408/9,1,5,0,1,M,5,91,1
id14,409/10,1,4,0,1,CL,4,91,1
id14,410/11,1,4,0,1,CL,4,91,1
id15,306/7,1,8,0,1,PVS,1,91,0
id15,307/8,1,8,0,1,PVS,0,91,0
id15,308/9,1,13,0,1,PVS,3,91,0
id15,309/10,1,12,0,1,PVS,2,91,0
id15,310/11,1,4,0,1,CL,-2,91,0
id15,406/7,1,6,0,1,CL,0,91,0
id15,407/8,1,11,0,1,PVS,3,91,0
id15,408/9,1,13,0,1,PVS,3,91,0
id15,409/10,1,10,0,1,PVS,0,91,0
id15,410/11,1,8,0,1,PVS,0,91,0
id16,310/11,1,6,0,1,M,6,146,1
id17,308/9,1,6,0,1,M,0,161,0
id17,309/10,1,8,0,1,M,3,161,0
id17,310/11,1,5,0,1,M,-1,161,0
id17,407/8,1,6,0,1,M,0,161,0
id17,409/10,1,6,0,1,M,0,161,0
id17,410/11,1,4,0,1,CL,-2,161,0
id18,307/8,1,10,0,0,M,2,72,0
id18,309/10,1,9,0,0,M,-2,72,0
id18,310/11,1,6,0,0,M,-1,72,0
id18,407/8,1,6,0,0,M,1,72,0
id18,409/10,1,7,0,0,M,2,72,0
id18,410/11,1,5,0,0,M,0,72,0
id18,308/9,1,4,0,0,CL,-4,72,0
id19,307/8,1,6,0,0,M,1,72,0
id19,308/9,1,8,0,0,M,2,72,0
